lane,sample_id,artifacts
happy,chr21_filtered_truth,result.extended.csv;result.metrics.json.gz;result.roc.Locations.INDEL.PASS.csv.gz;result.roc.Locations.INDEL.csv.gz;result.roc.Locations.SNP.PASS.csv.gz;result.roc.Locations.SNP.csv.gz;result.roc.all.csv.gz;result.runinfo.json;result.summary.csv;result.vcf.gz;result.vcf.gz.tbi
happy,chr21_output_metadata,result.extended.csv;result.metrics.json.gz;result.roc.Locations.INDEL.PASS.csv.gz;result.roc.Locations.INDEL.csv.gz;result.roc.Locations.SNP.PASS.csv.gz;result.roc.Locations.SNP.csv.gz;result.roc.all.csv.gz;result.runinfo.json;result.summary.csv;result.vcf.gz;result.vcf.gz.tbi
happy,matrix_bcf,result.bcf;result.bcf.csi;result.extended.csv;result.metrics.json.gz;result.roc.Locations.INDEL.PASS.csv.gz;result.roc.Locations.INDEL.csv.gz;result.roc.Locations.SNP.PASS.csv.gz;result.roc.Locations.SNP.csv.gz;result.roc.all.csv.gz;result.runinfo.json;result.summary.csv
happy,matrix_implicit_bcf,result.bcf;result.bcf.csi;result.extended.csv;result.metrics.json.gz;result.roc.Locations.SNP.PASS.csv.gz;result.roc.Locations.SNP.csv.gz;result.roc.all.csv.gz;result.runinfo.json;result.summary.csv
happy,matrix_gvcf_conversion,result.extended.csv;result.metrics.json.gz;result.roc.Locations.SNP.PASS.csv.gz;result.roc.Locations.SNP.csv.gz;result.roc.all.csv.gz;result.runinfo.json;result.summary.csv;result.vcf.gz;result.vcf.gz.tbi
happy,matrix_restrict_filters,result.extended.csv;result.metrics.json.gz;result.roc.Locations.INDEL.PASS.csv.gz;result.roc.Locations.INDEL.csv.gz;result.roc.Locations.SNP.PASS.csv.gz;result.roc.Locations.SNP.csv.gz;result.roc.all.csv.gz;result.runinfo.json;result.summary.csv;result.vcf.gz;result.vcf.gz.tbi
happy,matrix_targets,result.extended.csv;result.metrics.json.gz;result.roc.Locations.SNP.PASS.csv.gz;result.roc.Locations.SNP.csv.gz;result.roc.all.csv.gz;result.runinfo.json;result.summary.csv;result.vcf.gz;result.vcf.gz.tbi
happy,matrix_roc_stratification,result.extended.csv;result.metrics.json.gz;result.roc.Locations.INDEL.PASS.csv.gz;result.roc.Locations.INDEL.SEL.csv.gz;result.roc.Locations.INDEL.csv.gz;result.roc.Locations.SNP.PASS.csv.gz;result.roc.Locations.SNP.SEL.csv.gz;result.roc.Locations.SNP.csv.gz;result.roc.all.csv.gz;result.runinfo.json;result.summary.csv;result.vcf.gz;result.vcf.gz.tbi
happy,matrix_gt_fix_normalize,result.extended.csv;result.metrics.json.gz;result.roc.Locations.INDEL.PASS.csv.gz;result.roc.Locations.INDEL.csv.gz;result.roc.Locations.SNP.PASS.csv.gz;result.roc.Locations.SNP.csv.gz;result.roc.all.csv.gz;result.runinfo.json;result.summary.csv;result.vcf.gz;result.vcf.gz.tbi
happy,matrix_scmp_default_first,result.extended.csv;result.metrics.json.gz;result.roc.Locations.INDEL.PASS.csv.gz;result.roc.Locations.INDEL.csv.gz;result.roc.Locations.SNP.PASS.csv.gz;result.roc.Locations.SNP.csv.gz;result.roc.all.csv.gz;result.runinfo.json;result.summary.csv;result.vcf.gz;result.vcf.gz.tbi
sompy,chr21_includenonpass_countunk,result.features.csv;result.metrics.json;result.stats.csv
sompy,chr21_includenonpass,result.features.csv;result.metrics.json;result.stats.csv
sompy,chr21_passonly_countunk,result.features.csv;result.metrics.json;result.stats.csv
sompy,chr21_minimal,result.features.csv;result.metrics.json;result.stats.csv
sompy,grch38_indels,result.features.csv;result.metrics.json;result.stats.csv
sompy,grch38_indels_happy,result.features.csv;result.metrics.json;result.stats.csv;result.summary.csv
sompy,grch38_indels_af,result.features.csv;result.metrics.json;result.stats.csv
sompy,grch38_snvs,result.features.csv;result.metrics.json;result.stats.csv
sompy,grch38_snvs_roc,result.features.csv;result.metrics.json;result.roc.csv;result.stats.csv
sompy,normalize_query,result.features.csv;result.metrics.json;result.stats.csv
sompy,normalize_all_filtered_fn,result.features.csv;result.metrics.json;result.stats.csv
sompy,somatic_bam_depth,result.features.csv;result.metrics.json;result.stats.csv
sompy,matrix_auto_query_contig,result.features.csv;result.metrics.json;result.stats.csv
sompy,matrix_count_toggle_on,result.features.csv;result.metrics.json;result.stats.csv
sompy,matrix_count_toggle_off,result.features.csv;result.metrics.json;result.stats.csv
sompy,matrix_ambiguity_last_off,result.ambiclasses.csv;result.ambireasons.csv;result.features.csv;result.metrics.json;result.stats.csv
sompy,matrix_ambiguity_last_on,result.ambiclasses.csv;result.ambireasons.csv;result.features.csv;result.metrics.json;result.stats.csv
sompy,matrix_location_fp_denominator,result.features.csv;result.metrics.json;result.stats.csv
sompy,matrix_restrict_regions,result.features.csv;result.metrics.json;result.stats.csv
sompy,matrix_target_regions,result.features.csv;result.metrics.json;result.stats.csv
sompy,matrix_normalize_truth_fixchr_ci,result.features.csv;result.metrics.json;result.stats.csv
sompy,matrix_snv_happy_custom_af,result.extended.csv;result.features.csv;result.metrics.json;result.stats.csv;result.summary.csv
sompy,matrix_snv_roc_af,result.SNVs.0.500000-1.000000.roc.csv;result.features.csv;result.indels.0.500000-1.000000.roc.csv;result.metrics.json;result.records.0.500000-1.000000.roc.csv;result.roc.csv;result.stats.csv
prepy,chr21,result.vcf.gz;result.vcf.gz.tbi
prepy,chr21_passonly,result.vcf.gz;result.vcf.gz.tbi
prepy,chr21_no_fixchr,result.vcf.gz;result.vcf.gz.tbi
prepy,tiny_default,result.vcf.gz;result.vcf.gz.tbi
prepy,tiny_somatic,result.vcf.gz;result.vcf.gz.tbi
prepy,tiny_set_gt_half,result.vcf.gz;result.vcf.gz.tbi
prepy,tiny_set_gt_hemi,result.vcf.gz;result.vcf.gz.tbi
prepy,tiny_set_gt_het,result.vcf.gz;result.vcf.gz.tbi
prepy,tiny_set_gt_hom,result.vcf.gz;result.vcf.gz.tbi
prepy,tiny_set_gt_first,result.vcf.gz;result.vcf.gz.tbi
prepy,tiny_set_gt_then_somatic,result.vcf.gz;result.vcf.gz.tbi
prepy,tiny_convert_gvcf,result.vcf.gz;result.vcf.gz.tbi
prepy,tiny_no_normalize,result.vcf.gz;result.vcf.gz.tbi
prepy,tiny_filters_only,result.vcf.gz;result.vcf.gz.tbi
prepy,tiny_window_size,result.vcf.gz;result.vcf.gz.tbi
prepy,tiny_switch_precedence,result.vcf.gz;result.vcf.gz.tbi
prepy,tiny_gender_auto,result.vcf.gz;result.vcf.gz.tbi
prepy,tiny_gender_half_call,result.vcf.gz;result.vcf.gz.tbi
prepy,tiny_gender_male,result.vcf.gz;result.vcf.gz.tbi
prepy,tiny_gender_female,result.vcf.gz;result.vcf.gz.tbi
prepy,tiny_fixchr_precedence,result.vcf.gz;result.vcf.gz.tbi
prepy,tiny_bcftools_norm,result.vcf.gz;result.vcf.gz.tbi
prepy,tiny_bcftools_norm_default,result.vcf.gz;result.vcf.gz.tbi
prepy,tiny_bcf_output,result.vcf.gz.bcf;result.vcf.gz.bcf.csi
prepy,tiny_verbose_log,result.vcf.gz;result.vcf.gz.tbi
prepy,tiny_symbolic_del,result.vcf.gz;result.vcf.gz.tbi
prepy,matrix_location_postfix,result.vcf.gz;result.vcf.gz.tbi
prepy,matrix_fixchr_auto,result.vcf.gz;result.vcf.gz.tbi
prepy,matrix_fixchr_disabled,result.vcf.gz;result.vcf.gz.tbi
prepy,matrix_region_end_overlap,result.vcf.gz;result.vcf.gz.tbi
prepy,matrix_target_start_only,result.vcf.gz;result.vcf.gz.tbi
prepy,matrix_filters_any_unexcluded,result.vcf.gz;result.vcf.gz.tbi
prepy,matrix_pass_wins_filters,result.vcf.gz;result.vcf.gz.tbi
prepy,matrix_window_isolated,result.vcf.gz;result.vcf.gz.tbi
prepy,matrix_window_neighbours,result.vcf.gz;result.vcf.gz.tbi
prepy,matrix_bcf_input,result.vcf.gz;result.vcf.gz.tbi
prepy,chr21_parallel_blocksplit,result.vcf.gz;result.vcf.gz.tbi
ftxpy,chr21,result.csv
ftxpy,chr21_includenonpass,result.csv
ftxpy,chr21_hcc_strelka_snv,result.csv
ftxpy,chr21_admix_strelka_snv,result.csv
ftxpy,grch38_hcc_strelka_snv,result.csv
ftxpy,grch38_hcc_strelka_indel,result.csv
ftxpy,grch38_admix_strelka_indel,result.csv
ftxpy,chr21_hcc_strelka_snv_tp,result.csv
ftxpy,chr21_hcc_strelka_snv_fn,result.csv
ftxpy,ftx_bam_depth,result.csv
ftxpy,ftx_called_nonref,result.csv
ftxpy,ftx_location,result.csv
ftxpy,ftx_fix_chr,result.csv
ftxpy,ftx_normalize,result.csv
ftxpy,ftx_mutect_snv,result.csv
ftxpy,ftx_varscan2_snv,result.csv
ftxpy,ftx_pisces_snv,result.csv
ftxpy,ftx_empty_label,result.csv
ftxpy,ftx_mutect_indel,result.csv
ftxpy,ftx_mutect_reversed_samples,result.csv
ftxpy,ftx_varscan2_indel,result.csv
ftxpy,ftx_pisces_indel,result.csv
ftxpy,ftx_selector_normalize,result.csv
ftxpy,ftx_empty_input,result.csv
qfy,chr21_region,result.extended.csv;result.metrics.json.gz;result.roc.Locations.INDEL.PASS.csv.gz;result.roc.Locations.INDEL.csv.gz;result.roc.Locations.SNP.PASS.csv.gz;result.roc.Locations.SNP.csv.gz;result.roc.all.csv.gz;result.summary.csv
qfy,chr21_ga4gh,result.extended.csv;result.metrics.json.gz;result.roc.Locations.INDEL.PASS.csv.gz;result.roc.Locations.INDEL.csv.gz;result.roc.Locations.SNP.PASS.csv.gz;result.roc.Locations.SNP.csv.gz;result.roc.all.csv.gz;result.summary.csv
qfy,chr21_ga4gh_roc_controls,result.extended.csv;result.metrics.json.gz;result.roc.Locations.INDEL.PASS.csv.gz;result.roc.Locations.INDEL.SEL.csv.gz;result.roc.Locations.INDEL.csv.gz;result.roc.Locations.SNP.PASS.csv.gz;result.roc.Locations.SNP.SEL.csv.gz;result.roc.Locations.SNP.csv.gz;result.roc.all.csv.gz;result.summary.csv
qfy,chr21_ga4gh_artifacts,result.bcf;result.bcf.csi;result.roc.all.csv.gz;result.roc.tsv;result.summary.csv
qfy,chr21_counts_last_off,result.roc.all.csv.gz;result.summary.csv
qfy,chr21_counts_last_on,result.extended.csv;result.roc.all.csv.gz;result.summary.csv
qfy,chr21_four_column_strat,result.extended.csv;result.metrics.json.gz;result.roc.all.csv.gz;result.summary.csv
vcfcheck,formats,result.json
vcfcheck,warning_controls,result.json
vcfcheck,ploidy,result.json
vcfcheck,negative_limit,result.json
vcfcheck,missing_contig,result.json
vcfcheck,sample_count_mismatch,result.json
vcfcheck,lowercase_x,result.json
vcfcheck,vcf44_number_p,result.json
vcfcheck,invalid_pl_cardinality,result.json
